tweet_id,error_type
1233445407713366017,Forbidden
1233446372441022465,Forbidden
1233452953295560705,NotFound
1233459651376746496,NotFound
1233462375262703617,Forbidden
1233462798702858241,NotFound
1233464740422266880,NotFound
1233468471851261959,Forbidden
1233472464295952386,Forbidden
1233477401843294216,Forbidden
1233479072421777408,Forbidden
1233480819219537922,Forbidden
1233484107851730951,Forbidden
1233485236782149633,Forbidden
1233488835323060225,Forbidden
1233494259011145729,Forbidden
1233500871096328192,NotFound
1233505500936970240,Forbidden
1233511308512854017,Forbidden
1233525271657172993,NotFound
1233547143996006401,NotFound
1233573603905503237,NotFound
1233582710918197248,Forbidden
1233587668396761088,Forbidden
1233591267629531137,NotFound
1233596223455744000,NotFound
1233606800106233856,Forbidden
1233606873619656705,Forbidden
1233629190223802368,NotFound
1233629521326133248,Forbidden
1233712081469366272,NotFound
1233712562128195586,NotFound
1233714340773146624,NotFound
1233717712326668289,Forbidden
1233731488644026368,Forbidden
1233735569978490882,Forbidden
1233744143467368457,Forbidden
1233746161384775680,NotFound
1233750579471618051,NotFound
1233762169570742273,NotFound
1233762312953253890,Forbidden
1233768092595097600,NotFound
1233791415668228102,NotFound
1233795797248086019,NotFound
1233797715613638657,NotFound
1233799325521793025,NotFound
1233803803083726849,NotFound
1233810996382380032,NotFound
1233820150719287296,Forbidden
1233825695647838211,NotFound
1233830287659933696,NotFound
1233830413346406401,Forbidden
1233839304943788038,Forbidden
1233841326678040576,NotFound
1233842573267099648,Forbidden
1233842942793613314,Forbidden
1233864107323002880,Forbidden
1233866289418055680,Forbidden
1233872945145139203,Forbidden
1233883098544136192,NotFound
1233890782928605185,NotFound
1233893818853814272,Forbidden
1233894354420453378,Forbidden
1233897230412574721,NotFound
1233898551832268800,NotFound
1233904246933901314,NotFound
1233907598455386112,Forbidden
1233920211478360065,NotFound
1233947517781327872,Forbidden
1233974637480071169,NotFound
1233980655295516679,Forbidden
1233983636036128769,NotFound
1233988217939976192,Forbidden
1233989072504274946,NotFound
1233992172694724609,Forbidden
1233999406917193728,NotFound
1234035482461257728,Forbidden
1234070946421465088,NotFound
1234074465996161024,Forbidden
1234092624421588992,NotFound
1234100887439568896,NotFound
1234111388097884160,NotFound
1234127697581924352,NotFound
1234132673771319296,NotFound
1234134538583969792,NotFound
1234135048829460481,Forbidden
1234138983774355456,Forbidden
1234141309096648706,NotFound
1234144473270996993,NotFound
1234145715246575616,Forbidden
1234150394822975488,Forbidden
1234161892584828937,NotFound
1234165612278173700,NotFound
1234180321115099137,Forbidden
1234181877042417665,Forbidden
1234186220567171072,NotFound
1234192874155147264,Forbidden
1234213067766091779,Forbidden
1234226149103935489,Forbidden
1234233617737494533,Forbidden
1234240382122086400,NotFound
1234267544065675264,NotFound
1234281641121587201,NotFound
1234323518449385472,Forbidden
1234332399699472384,Forbidden
1234347357703008256,Forbidden
1234350797099499520,Forbidden
1234351506331258880,NotFound
1234364792409903104,NotFound
1234374594447867904,NotFound
1234380889318187008,Forbidden
1234389903389200385,NotFound
1234435572296560641,NotFound
1234465511360147456,Forbidden
1234471062999572482,Forbidden
1234479596625592320,NotFound
1234482016353234945,NotFound
1234488206722248705,Forbidden
1234508090554363905,NotFound
1234511805625634816,Forbidden
1234534927305039880,Forbidden
1234538091974733825,Forbidden
1234556000310611969,Forbidden
1234557805060927489,Forbidden
1234561159925293061,Forbidden
1234567831485681664,NotFound
1234571418072907776,Forbidden
1234571820579336192,NotFound
1234579926956859393,NotFound
1234605325602312197,NotFound
